periodo1,periodo2,periodo3,periodo4,periodo5,periodo6,periodo7,periodo8,periodo9,periodo10,periodo11,periodo12,activo_codigo,activo_subnumero,ejercicio,umb_code
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100808,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100808,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100812,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100812,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100814,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100814,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100816,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100816,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100824,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100824,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100825,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100825,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100826,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100826,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100828,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100828,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,377.7543,130000199,0,2024,HNL
755.5086,1133.2629,1511.0172,1888.7715,2266.5258,2644.2801,3022.0344,3399.7887,3777.5430,4155.2973,4533.0516,4910.8059,130000199,0,2025,HNL
5288.5602,5666.3145,6044.0688,6421.8231,6799.5774,7177.3317,7555.0860,7932.8403,8310.5946,8688.3489,9066.1032,9443.8575,130000199,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130000275,0,2024,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130000275,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130000275,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130000276,0,2024,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130000276,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130000276,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130000277,0,2024,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130000277,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130000277,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130000278,0,2024,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130000278,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130000278,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,46.6782,120600159,0,2024,HNL
93.3563,140.0345,186.7127,233.3909,280.0690,326.7472,373.4254,420.1035,466.7817,513.4599,560.1380,606.8162,120600159,0,2025,HNL
653.4944,700.1726,746.8507,793.5289,840.2071,886.8852,933.5634,980.2416,1026.9197,1073.5979,1120.2761,1166.9543,120600159,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,264.4271,30000018,0,2024,HNL
528.8542,793.2814,1057.7085,1322.1356,1586.5627,1850.9898,2115.4170,2379.8441,2644.2712,2908.6983,3173.1254,3437.5525,30000018,0,2025,HNL
319.6840,479.5260,639.3680,799.2100,959.0520,1118.8940,1278.7360,1438.5780,1598.4200,1758.2620,1918.1040,2077.9460,30000019,0,2025,HNL
2237.7880,2397.6300,2557.4720,2717.3140,2877.1560,3036.9980,3196.8400,3356.6820,3516.5240,3676.3660,3836.2080,3996.0500,30000019,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,390.9640,30000020,0,2024,HNL
781.9280,1172.8920,1563.8560,1954.8200,2345.7840,2736.7480,3127.7120,3518.6760,3909.6400,4300.6040,4691.5680,5082.5320,30000020,0,2025,HNL
5473.4960,5864.4600,6255.4240,6646.3880,7037.3520,7428.3160,7819.2800,8210.2440,8601.2080,8992.1720,9383.1360,9774.1001,30000020,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,71.1563,80000269,0,2024,HNL
142.3125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,80000269,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1320.0000,80000270,0,2024,HNL
2640.0000,3960.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,80000270,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,138.6001,80000271,0,2024,HNL
277.2002,415.8002,554.4003,693.0004,831.6005,970.2006,1108.8007,1247.4007,1386.0008,0.0000,0.0000,0.0000,80000271,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.9463,80000272,0,2024,HNL
51.8925,77.8388,103.7850,129.7313,155.6775,181.6238,207.5700,233.5163,259.4625,285.4088,311.3550,337.3013,80000272,0,2025,HNL
363.2475,389.1938,415.1400,441.0863,467.0325,492.9788,518.9250,0.0000,0.0000,0.0000,0.0000,0.0000,80000272,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1475.3257,80000273,0,2024,HNL
2950.6514,4425.9772,5901.3029,7376.6286,8851.9543,10327.2800,11802.6058,13277.9315,14753.2572,16228.5829,17703.9086,19179.2344,80000273,0,2025,HNL
20654.5601,22129.8858,23605.2115,25080.5372,26555.8630,28031.1887,29506.5144,30981.8401,32457.1658,33932.4916,35407.8173,0.0000,80000273,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2468.4351,80000274,0,2024,HNL
4936.8701,7405.3052,9873.7403,12342.1753,14810.6104,17279.0454,19747.4805,22215.9156,24684.3506,27152.7857,29621.2208,32089.6558,80000274,0,2025,HNL
