codigo,descripcion
SUS,Inversión de Sustitución
AMO,Inversión de Ampliación (Modernización)
AEX,Inversión de Ampliación (Expansión)
AES,Inversión de Ampliación (Estrategicas)
MEN,Inversión Menor
AER,Inversión de Ampliación (Estrategicas Regulatorias)
