createdat,createdby,modifiedat,modifiedby,groupname,groupnameprev,hierlevel,valcount,descript,coarea
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,113,1000,1,0,Gerencia de Plantas,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1131,113,2,0,Planta de Procesamiento de Aves,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11311,1131,3,2,Beneficio,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11312,1131,3,2,Corte y Deshuese,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11313,1131,3,2,Tenderizado,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11314,1131,3,3,Maquilados,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11315,1131,3,1,Industrializados,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11316,1131,3,1,Empaque,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11317,1131,3,2,Almacen de PT,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11318,1131,3,1,Administración,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,11319,1131,3,1,Inocuidad,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1132,113,2,5,Planta de Alimentos Balanceados,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,1133,113,2,5,Planta de Procesamiento de Harinas,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,114,1000,1,6,Departamentos Servicios y Distribuibles,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,115,1000,1,1,Café,""
2025-08-27 22:33:23.862,DBULNES,2025-08-27 22:33:23.862,DBULNES,116,1000,1,1,Resultados Financieros,""
