codigo,descripcion
LIBRA,Libras
QUINTAL,Quintales
LITRO,Litros
AVEDIA,Aves por Día
NUMPERSONA,Número de Personas
CANTIDAD,Cantidad de Pruebas
PORCENTAJE,Porcentaje
