createdat,createdby,modifiedat,modifiedby,producto_codigo,centrologistico_codigo,centrobeneficio_codigo,plancuenta_codigo,costo,historico,iscoproducto
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,1000,1000,"",3.490,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,2300,2300,"",1.950,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,2301,2301,"",1.950,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,2302,2302,"",1.950,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,2303,2303,"",1.950,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,2400,2400,"",1.950,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,2401,2401,"",1.940,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,2402,2402,"",1.950,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,2403,2403,"",1.940,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,2404,2404,"",1.950,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,2405,2405,"",1.950,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,2406,2406,"",1.950,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,2600,2600,"",1.950,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,2601,2601,"",1.950,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,2602,2602,"",1.950,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,2603,2603,"",1.950,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,2604,2604,"",1.950,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,2605,2605,"",0.000,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,2606,2606,"",0.000,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,2607,2607,"",1.950,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,2608,2608,"",1.950,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,2609,2609,"",1.950,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,4000,4000,"",3.400,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,6000,6000,"",1.950,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000013,6010,6010,"",2.730,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000014,1000,1000,"",461.900,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000014,6000,6000,"",407.540,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000015,1000,1000,"",49.710,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000016,1000,1000,"",42.500,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000017,1000,1000,"",43.820,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000018,1000,1000,"",26.380,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000021,1000,1000,"",54.550,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000022,1000,1000,"",588.070,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000023,1000,1000,"",59.090,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000023,6000,6000,"",55.450,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000023,6010,6010,"",55.450,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000024,1000,1000,"",51.700,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000025,1000,1000,"",57.800,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000026,1000,1000,"",58.570,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000027,1000,1000,"",58.320,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000028,1000,1000,"",56.420,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000029,1000,1000,"",53.420,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000030,1000,1000,"",44.570,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000031,1000,1000,"",43.330,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000032,1000,1000,"",51.770,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000033,1000,1000,"",4.610,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000034,1000,1000,"",18.070,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000034,5000,5000,"",8.980,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000035,1000,1000,"",27.270,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000036,1000,1000,"",4.530,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000037,1000,1000,"",63.640,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000038,1000,1000,"",6.920,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000039,1000,1000,"",59.920,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000040,1000,1000,"",36.210,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000041,1000,1000,"",381.810,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000041,6000,6000,"",241.070,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000042,1000,1000,"",68.900,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000043,1000,1000,"",81.560,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000044,1000,1000,"",168.180,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000045,1000,1000,"",98.080,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000046,1000,1000,"",41.420,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000047,1000,1000,"",40.150,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000048,1000,1000,"",60.260,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000049,1000,1000,"",54.150,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000050,1000,1000,"",53.660,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000051,1000,1000,"",52.060,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000052,1000,1000,"",63.230,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000053,1000,1000,"",68.410,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000054,1000,1000,"",131.820,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000055,1000,1000,"",26.460,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000056,1000,1000,"",3.450,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000057,1000,1000,"",58.020,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000057,5000,5000,"",2.350,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000058,1000,1000,"",229.390,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000058,6000,6000,"",159.540,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000059,1000,1000,"",150.180,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000060,1000,1000,"",513.580,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000060,6000,6000,"",524.410,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000061,1000,1000,"",0.000,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,10000080,1000,1000,"",26.070,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,11000020,4000,4000,"",3415.500,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,11000037,4000,4000,"",638.400,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,11000042,4000,4000,"",1614.650,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,11000043,4000,4000,"",0.380,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,11000046,4000,4000,"",0.490,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,11000048,4000,4000,"",0.400,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,11000050,4000,4000,"",0.460,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,11000059,4000,4000,"",0.840,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,11000060,4000,4000,"",56.280,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,11000063,1000,1000,"",75.840,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,11000063,6000,6000,"",75.840,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,11000064,1000,1000,"",7.500,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,1000,1000,"",7.670,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2020,2020,"",0.000,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2120,2120,"",0.000,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2300,2300,"",7.350,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2301,2301,"",7.350,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2302,2302,"",7.350,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2303,2303,"",7.460,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2400,2400,"",5.560,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2401,2401,"",7.460,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2402,2402,"",5.560,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2403,2403,"",5.560,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2404,2404,"",7.350,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2405,2405,"",5.260,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2406,2406,"",5.260,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2600,2600,"",7.350,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2601,2601,"",5.230,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2602,2602,"",5.230,t,f
