id,createdat,createdby,modifiedat,modifiedby,material_producto_codigo,material_centrologistico_codigo,ejercicio,stockcompra1,stockcompra2,stockcompra3,stockcompra4,stockcompra5,stockcompra6,stockcompra7,stockcompra8,stockcompra9,stockcompra10,stockcompra11,stockcompra12,historico,bloqueouser,bloqueoadmin,escenario
ea8a8ccf-4189-49a6-86ad-06f2cbbd51a8,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,18000101,6010,2025,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,f,f,f,1
594a3dad-3ae3-445d-82cb-e69aebf87f04,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,18000380,6010,2025,31.0000,31.0000,31.0000,31.0000,31.0000,31.0000,31.0000,31.0000,31.0000,31.0000,31.0000,31.0000,f,f,f,1
f92e5996-ac53-44c4-8837-f1218b35fea7,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,10000002,1000,2025,459774.0500,407314.1700,460790.4400,480904.8800,484340.3400,453216.6500,504237.6300,470915.4900,478789.7700,497056.7900,444836.9000,496670.3400,f,f,f,1
8301dafb-2b18-45aa-89cf-a179915da47d,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,18000121,6010,2025,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,f,f,f,1
f924c60e-5dcd-4786-b248-d82fae329759,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,18000034,6010,2025,183.0000,183.0000,183.0000,183.0000,183.0000,183.0000,183.0000,183.0000,183.0000,183.0000,183.0000,183.0000,f,f,f,1
6aacbebd-dc49-4cb0-9afe-3d2a2b033994,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,18000200,6000,2025,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,f,f,f,1
52b7dc05-49df-4013-9af7-536870c75b64,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,24000021,5003,2025,29.7000,27.5000,36.3000,25.3000,34.1000,38.5000,40.7000,37.4000,41.8000,36.3000,40.7000,47.3000,f,f,f,1
80f2eb45-f147-4fd9-a809-7cd1140d751e,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,10000180,1000,2025,10258.6400,9232.7100,10228.4800,9900.6400,11471.5400,10594.6000,11070.6200,11634.7500,10069.0800,12088.9600,11545.3100,10909.6300,f,f,f,1
ac867dc4-7561-4754-8bb9-52eff562efea,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,18000250,6010,2025,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,f,f,f,1
4fd1fa1f-3ab0-4744-8ef2-8397e844b8e4,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,24000150,5001,2025,18087.3000,15466.0000,17961.9000,14664.1000,17964.1000,18099.4000,16997.2000,19332.5000,19467.8000,17231.5000,17842.0000,21641.4000,f,f,f,1
870d70d1-21ea-4e97-a990-9320d44cb1db,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,10000012,1000,2025,5855.4000,5306.0200,5824.9900,5780.9500,6577.2600,6035.8400,6392.3800,6654.1600,5845.1100,6950.3000,6591.0500,6194.9500,f,f,f,1
ec516b73-0c98-4fb2-a9dd-dac6b708ece7,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,18000322,6000,2025,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,f,f,f,1
ee33ef24-cdbe-4802-8d45-f96ac25c757d,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,10000293,1000,2025,460.5700,414.1200,444.8900,498.4400,503.4400,469.8400,523.4100,502.8800,490.2200,546.8900,504.9500,490.8500,f,f,f,1
e50bb652-2955-4b49-990b-1cf6d4fbefa9,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,10000192,1000,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,f,1
3029ec05-508b-4c5d-9c21-0193afc58ffb,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,18000044,6000,2025,10000.0000,10000.0000,10000.0000,10000.0000,10000.0000,10000.0000,10000.0000,10000.0000,10000.0000,10000.0000,10000.0000,10000.0000,f,f,f,1
cb76ec63-a873-4bb8-a4d5-3a348747de2e,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,24000010,5002,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,f,1
0ce18f7c-0c2d-4111-8a8f-28ed9ace30d3,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,10000024,1000,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,f,1
9df9548f-98ff-4ab5-8dd4-92a2fdffb78c,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,18000182,6000,2025,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,f,f,f,1
a8c504c9-2c84-4a15-80ba-a667b6780502,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,24000091,5000,2025,1000.0000,1050.0000,1000.0000,1100.0000,1200.0000,1200.0000,1150.0000,1550.0000,1550.0000,1600.0000,1600.0000,1800.0000,f,f,f,1
a837e86a-b869-42ce-ab34-44120b597ae9,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,18000302,6010,2025,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,f,f,f,1
e0c97dc6-cc20-4994-a3be-17a129d21e47,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,24000162,5002,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20000.0000,f,f,f,1
aff7bd84-a5db-4d3c-b4d6-cbf0649c7c6b,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,18000080,6000,2025,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,f,f,f,1
fe23e48b-17a0-4b3a-95e5-76373754493a,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,10000054,1000,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,f,1
ef8717e1-97ec-49df-a067-3fd648b95b6f,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,10000220,1000,2025,128824.4200,94479.6900,124106.5900,112673.7100,238376.6100,209677.0600,126459.0000,141483.4700,200445.8200,252235.7700,120327.1100,137374.6800,f,f,f,1
01afe3c3-0d17-49bb-b322-8663efba617a,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,24000013,5003,2025,107.8000,107.8000,123.2000,110.0000,114.4000,125.4000,121.0000,113.3000,128.7000,116.6000,125.4000,138.6000,f,f,f,1
1b5baff1-9e3c-422e-bf8a-9bbcfc081886,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,10000013,4000,2025,13971.6500,12562.7100,13906.1700,13563.9400,15599.6800,14385.2300,15102.4100,15763.2400,13779.3200,16431.1600,15625.1600,14866.7400,f,f,f,1
4b294805-98cc-4230-ab97-87752564e5b4,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,18000200,6010,2025,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,f,f,f,1
7a7d2a74-eecd-4639-bc0a-3431debd3033,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,24000181,5000,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,f,1
