createdat,createdby,modifiedat,modifiedby,codigo,subnumero,serieactivo,descripcion,claseactivo_codigo,claseactivosap,centrocosto_codigo,fechainciodepreciacion,fechafindepreciacion,valorcompra,escenario,historico,fechacapitalizacion,moneda_code,bloqueouser,bloqueoadmin
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,60101428,0,"",FP2025_078 4 trocos para cross Comayagua,4001,,1113000009,,,0.0000,1,t,2025-07-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80000172,0,MYE10109-00521,TERMOMETRO INFRARROJO,2000,,1123101001,,,2500.0000,1,t,2010-10-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80000431,0,MEI-002127,LAVAMANOS DE ACERO INOXIDABLE PEQUEÑO,2000,,1131100001,,,1.0000,1,t,2018-02-28,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80000478,0,MEI-001742,MICROMEZCLADORA,2000,,1132000099,,,1.0000,1,t,2018-02-28,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80000959,0,MYE10109-00697,CRIADORA INFRARROJA TIPO M8 C/SISTEMA REGULADOR,2000,,1123102001,,,2138.0300,1,t,2013-02-28,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80001095,0,MYE10109-00712,THERMOCOUPLE 36,2000,,1123102001,,,286.4700,1,t,2013-05-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80001452,0,"",EQUIPO NIR,2000,,1132000002,,,1579871.9300,1,t,2022-04-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80001500,0,"",TANQUE ROTOPLAST PARA AGUA DE CALDERA PPH,2000,,1133000001,,,53500.0000,1,t,2023-08-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80001547,0,AG002743,BASCULA DA PBTI30 / 300 x 300 MM / SN: AG002743/ 2,2000,,1131600001,,,0.0000,1,t,2024-10-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,100000053,0,MYE10109-00874,REFRIGERADORA LG 11FT 2PTAS,3000,,1140000003,,,12075.0000,1,t,2016-07-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,100100060,0,MOB-001971,"AIRE ACONDICIONADO MARCA WHISPER AIR, COLOR BEIGE",3020,,1112310001,,,1.0000,1,t,2018-02-28,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,100100751,0,601767,LOCKER INICIO 6 PUERTAS COLOR BEIGE,3020,,1112350001,,,0.0000,1,t,2024-11-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,110100028,0,VEH-000507,"CAMIÓN HINO AÑO 2017, COLOR BLANCO, 4009 CC DIESEL",3120,,1112100001,,,1.0000,1,t,2018-02-28,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,110100096,4,JHHUCL1F3RK053805,ANDEN PARA CABINA PARA CAMION PLACA JAI 8422,3120,,1113000004,,,0.0000,1,t,2024-12-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,40000023,0,GAL-10003-0087,GALERAS POSTURA (9.40X85.10MTS) G1,1300,,1129900099,,,1569453.6800,1,t,2014-11-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,120100022,0,MEO10119-00222,IMPRESORA EPSON LQ-590,3220,,1112100001,,,7430.0000,1,t,2012-10-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,120100136,0,MEO10119-00367,ROUTER LINKSYS WIFI-WRT1900 AC/DOUBLE BANDA,3220,,1111100001,,,8280.0000,1,t,2016-04-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,120100185,0,MEO10119-00303,"COMPUTADORA OPTIPLEX 3020 SMALL C/MONITOR DELL 20""",3220,,1111200001,,,15983.3500,1,t,2014-11-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,120100406,0,SN: DHHC6Q3,DELL SFF OPTIPLEX 3090 INTEL CORE I5 / SN: DHHC6Q3,3220,,1112330002,,,22723.2300,1,t,2023-07-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,120600100,0,808MXDMK0898,TV LED 32 SMART/WEBOS/LG SERIE: 808MXDMK0898,3420,,1111100004,,,6595.0000,1,t,2018-12-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,130000149,0,BB8160201383500006,FREEZER PALETERO CONGELADOR DE DOS PUERTAS,3920,,1112100001,,,21668.3000,1,t,2019-12-31,HNL,f,f
