createdat,createdby,modifiedat,modifiedby,centrologistico_codigo,unidadproductiva_codigo,materialformula_codigo,material_codigo,ejercicio,cantidad01,cantidad02,cantidad03,cantidad04,cantidad05,cantidad06,cantidad07,cantidad08,cantidad09,cantidad10,cantidad11,cantidad12,escenario,bloqueouser,bloqueoadmin,historico
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000043,10000210,2024,458.0920,394.0000,426.1500,365.0000,315.0000,256.0000,160.0000,262.0000,163.0000,0.0000,60.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000043,10000220,2024,0.0000,0.0000,0.0000,7444.0000,0.0000,0.0000,0.0000,600.0000,0.0000,0.0000,0.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000043,10000230,2024,152.6000,195.0000,175.0000,172.0000,2.5000,1.7500,242.5000,90.0010,12.0000,9.0000,37.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000043,10000261,2024,603.0000,780.0000,700.0000,627.5000,512.5000,582.0000,440.0000,334.0000,268.5000,150.0000,370.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000043,10000263,2024,55.5000,50.7000,45.5000,69.4000,20.1500,33.1500,18.2000,20.8110,22.7500,7.8000,26.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000043,10000273,2024,0.0000,0.0000,0.0000,0.0000,2550.0000,7265.0000,850.0000,2874.7100,4933.5000,914.0000,2550.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000043,10000290,2024,0.0000,0.0000,0.0000,405.0000,335.0000,355.0000,260.0000,220.0000,175.0000,80.0000,200.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000043,10000291,2024,10.0000,0.0000,0.0000,255.5000,220.5000,196.0000,112.0000,154.0000,122.5000,14.0000,42.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000043,10000292,2024,0.0000,0.0000,0.0000,548.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000043,10000295,2024,1392.9240,1211.6800,930.0000,600.0000,1180.1000,1080.0000,660.0000,827.7000,525.0000,240.0000,600.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000043,10000296,2024,371.0100,459.1340,350.0000,380.0000,322.0400,390.0000,194.0000,454.3000,175.0000,80.0000,200.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000043,10000310,2024,0.0000,0.0000,0.0000,0.0000,0.0000,12784.8000,9471.0000,0.0000,3641.5000,0.0000,0.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000043,12000043,2024,398861.0000,394980.0000,350850.0000,406390.0000,341930.0000,360420.0000,259880.0000,221380.0000,179720.0000,80260.0000,203200.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000000,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4362.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000002,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12909.4000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000004,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,310.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000006,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000008,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000009,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,780.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000010,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000012,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000013,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.0000,0.0000,1,f,f,t
