createdat,createdby,modifiedat,modifiedby,groupname,hierlevel,valcount,descript,groupnameprev,versn
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,302,5,1,Otros Productos Financieros,300,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA8110510001,6,0,X|X,302,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,32,3,1,GASTOS FINANCIEROS,31,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,303,4,1,GASTOS FINANCIEROS,32,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,304,5,1,Intereses Pagados,303,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA8120505001,6,0,X|X,304,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,305,5,1,Comisiones,303,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA8120510001,6,0,X|X,305,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,306,5,1,Otros Gastos Financieros,303,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA8120515001,6,0,X|X,306,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,33,2,1,OTROS INGRESOS Y OTROS EGRESOS,15,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,307,3,1,OTROS INGRESOS,33,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,309,4,1,Otros Ingresos Gravables,307,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,310,5,1,Otros Ingresos  Gravables,309,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA8210505001,6,0,X|X,310,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,308,3,1,OTROS EGRESOS,33,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,311,4,1,Otros Egresos Deducibles,308,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,312,5,1,Otros Egresos Deducibles,311,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA8220505001,6,0,X|X,312,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,34,2,1,OTROS NO GRAVABLES Y OTROS NO DEDUCIBLES,15,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,313,3,1,OTROS NO GRAVABLES Y OTROS NO DEDUCIBLES,34,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,314,4,1,Otros Ingresos No Gravables,313,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,316,5,1,Otros Ingresos No Gravables,314,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA8310505001,6,0,X|X,316,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,315,4,1,Otros Gastos No Deducibles,313,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,317,5,1,Otros Gastos No Deducibles,315,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA8311005001,6,0,X|X,317,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,35,2,1,IMPUESTOS,15,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,318,3,1,IMPUESTOS,35,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,319,4,1,Impuestos,318,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,320,5,1,Impuestos Sobre Renta,319,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA8410505001,6,0,X|X,320,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,16,1,1,CUENTAS DE ORDEN,ZBEC,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,PUCA9990000001,2,0,X|X,16,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,1,1,1,No existe texto,ZBEC,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,2,1,1,No existe texto,ZBEC,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,3,1,1,No existe texto,ZBEC,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,4,1,1,No existe texto,ZBEC,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,5,1,1,No existe texto,ZBEC,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,6,1,1,No existe texto,ZBEC,""
2025-08-27 22:33:22.284,DBULNES,2025-08-27 22:33:22.284,DBULNES,7,1,1,No existe texto,ZBEC,""
