createdat,createdby,modifiedat,modifiedby,centrologistico_codigo,material_codigo,ejercicio,escenario,cantidad01,cantidad02,cantidad03,cantidad04,cantidad05,cantidad06,cantidad07,cantidad08,cantidad09,cantidad10,cantidad11,cantidad12,bloqueouser,bloqueoadmin,historico,total
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000000,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,343300.0000,f,f,t,343300.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000000,2025,1,116606.5275,80078.9307,132302.7133,49958.0765,145414.0004,97961.6781,118632.9326,135777.2149,65969.7689,160473.0967,135186.4661,50764.9108,f,f,f,1289126.3165
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000001,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,968570.0000,f,f,t,968570.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000001,2025,1,324302.5383,808121.3466,452130.2298,799572.5919,816517.6813,272204.1345,923271.7333,821302.2603,385090.2559,856304.2586,751653.4642,520204.0075,f,f,f,7730674.5022
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000002,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1020000.0000,f,f,t,1020000.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000002,2025,1,314067.0858,901611.4158,301898.5990,916073.8819,884623.3260,618853.3264,901906.7050,517757.2073,969612.1585,923864.8206,320928.7860,1147574.0030,f,f,f,8718771.3153
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000003,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,385000.0000,f,f,t,385000.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000003,2025,1,544412.6751,797122.9018,266911.3135,803383.6326,408986.1591,926776.9729,797383.9697,266907.6243,821466.2151,946342.2192,364131.5533,811180.6272,f,f,f,7755005.8638
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000004,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19721.0000,f,f,t,19721.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000004,2025,1,22614.5714,13310.0457,11061.5031,26825.9684,9195.1333,17630.8352,13310.0457,15272.9001,22614.5714,14671.2407,12154.7278,18762.9663,f,f,f,197424.5091
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000005,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,99161.0000,f,f,t,99161.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000005,2025,1,74470.5539,47516.5943,43150.6662,79969.3984,55865.9596,37116.2345,85370.9696,44171.8916,71423.7947,63263.3946,44586.2551,78186.7844,f,f,f,725092.4969
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000006,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000006,2025,1,0.0000,20584.7798,49106.4747,46170.0500,10072.7007,46028.4200,60006.9597,0.0000,0.0000,10072.7007,46028.4200,60006.9597,f,f,f,348077.4653
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000007,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14850.0000,f,f,t,14850.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000008,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000021,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,664320.0000,f,f,t,664320.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000021,2025,1,248922.9985,248586.5021,220785.1700,345631.3407,254141.1346,274923.9424,296774.5827,263336.8289,323095.6579,273563.3630,265570.4784,338796.5846,f,f,f,3354128.5838
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000022,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1554140.0000,f,f,t,1554140.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000022,2025,1,1811295.0750,1141243.7670,1637695.4320,1398946.3210,1594458.7880,1943485.2090,1455745.6400,1617392.5340,1774481.1160,1709857.7610,1706431.8390,1736167.3600,f,f,f,19527200.8420
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000023,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2349290.0000,f,f,t,2349290.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000023,2025,1,2125205.8240,1300978.3840,2179841.7190,1360082.2590,1871478.7820,1926272.9550,1718843.4670,2309098.7000,1379641.7110,1979291.3560,2483085.0860,1452164.9540,f,f,f,22085985.1970
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000024,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,393310.0000,f,f,t,393310.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000024,2025,1,1645291.1710,1149592.9070,1923156.9100,1161894.9450,2043893.8530,1344831.7300,1482237.7380,2232171.8050,1240602.6620,1620705.2920,2116312.8330,1525288.9570,f,f,f,19485980.8030
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000030,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64237.0000,f,f,t,64237.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000030,2025,1,45540.0243,63342.9772,16195.6334,0.0000,75002.8494,15754.5891,0.0000,59334.0104,45034.9317,77145.9350,0.0000,13611.5035,f,f,f,410962.4540
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000041,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000042,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,157620.0000,f,f,t,157620.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000042,2025,1,139999.8182,132441.3762,166555.0331,112769.7908,145132.0338,145486.6864,123369.1487,158280.4434,128268.7602,131748.6227,161714.8496,104104.2039,f,f,f,1649870.7670
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000043,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,263400.0000,f,f,t,263400.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000043,2025,1,294163.9593,240865.5031,268160.7918,274779.5476,218025.6951,259148.5767,286328.2112,284009.4335,238841.0002,234994.3902,258576.8802,287481.4897,f,f,f,3145375.4786
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000050,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70860.0000,f,f,t,70860.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000050,2025,1,71400.0000,58038.9042,87391.4547,131132.0670,171345.1371,110228.1690,134965.6512,102405.1644,168144.6600,171499.9546,94238.5016,131905.5601,f,f,f,1432695.2239
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000060,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24782.0000,f,f,t,24782.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,1000,12000060,2025,1,39806.3486,32999.7002,38553.1467,38918.5938,38097.4855,37574.6921,38983.5856,39456.4402,39981.1608,39027.5018,37947.9319,38608.7348,f,f,f,459955.3220
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000000,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000001,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
