createdat,createdby,modifiedat,modifiedby,codigo,descripcion
2025-08-27 22:22:12.08,DBULNES,2025-08-27 22:22:12.08,DBULNES,0001,División 0001
2025-08-27 22:22:12.08,DBULNES,2025-08-27 22:22:12.08,DBULNES,1000,Avicola
2025-08-27 22:22:12.08,DBULNES,2025-08-27 22:22:12.08,DBULNES,1001,Procesados
2025-08-27 22:22:12.08,DBULNES,2025-08-27 22:22:12.08,DBULNES,1002,ABA
2025-08-27 22:22:12.08,DBULNES,2025-08-27 22:22:12.08,DBULNES,1004,PPH
2025-08-27 22:22:12.08,DBULNES,2025-08-27 22:22:12.08,DBULNES,9999,Administracion y Servicios
