id,prestamo_id,fecha,ejercicio,numero,cantidad,abonocapital,interes,cuota,saldo
30a8eee3-2c71-458e-9ed1-fcda925d730f,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2024-12-01,2024,1,0,30499.1667,10166.4167,40665.5833,2409440.8333
13ab20a8-513e-4f29-9f03-ebd412c8d046,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2025-01-01,2025,2,0,30499.1667,10039.3368,40538.5035,2378941.6667
2d2560fc-29fb-45a4-9b18-455bbe6cb41e,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2025-02-01,2025,3,0,30499.1667,9912.2569,40411.4236,2348442.5000
993aeb00-b042-4f49-8d94-51db622b6ba5,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2025-03-01,2025,4,0,30499.1667,9785.1771,40284.3438,2317943.3333
1e59d8e8-f324-49c2-9108-37eab23a3c5e,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2025-04-01,2025,5,0,30499.1667,9658.0972,40157.2639,2287444.1667
b63c27ea-28c7-425d-bf66-b207e700b123,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2025-05-01,2025,6,0,30499.1667,9531.0174,40030.1840,2256945.0000
a3521b39-ff5b-4ecb-8192-f2778b29e8d6,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2025-06-01,2025,7,0,30499.1667,9403.9375,39903.1042,2226445.8333
8b972726-90e5-49f0-8f21-79a4e19fc119,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2025-07-01,2025,8,0,30499.1667,9276.8576,39776.0243,2195946.6667
8fd3a4f4-fe60-4aa1-a7e7-a89df07b2fdf,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2025-08-01,2025,9,0,30499.1667,9149.7778,39648.9444,2165447.5000
43281bb0-ad8b-4972-adf0-46e38c76bbf0,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2025-09-01,2025,10,0,30499.1667,9022.6979,39521.8646,2134948.3333
3a5c046a-eb3c-4cb8-904f-bc9418271c35,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2025-10-01,2025,11,0,30499.1667,8895.6181,39394.7847,2104449.1667
accd6533-876f-4f06-9e69-de45ace3befb,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2025-11-01,2025,12,0,30499.1667,8768.5382,39267.7049,2073950.0000
f03f5f15-5d4e-4c0c-97ae-5e376e0586fd,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2025-12-01,2025,13,0,30499.1667,8641.4583,39140.6250,2043450.8333
158eab86-54bf-45a4-b863-ba5db6217063,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2026-01-01,2026,14,0,30499.1667,8514.3785,39013.5451,2012951.6667
d61ddf9b-a596-44b3-ab3f-6cea3b3bc685,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2026-02-01,2026,15,0,30499.1667,8387.2986,38886.4653,1982452.5000
4a698c86-0e81-450c-b5e3-a17d2a313097,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2026-03-01,2026,16,0,30499.1667,8260.2188,38759.3854,1951953.3333
e733442e-a25d-425a-b405-fc981c58e6f5,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2026-04-01,2026,17,0,30499.1667,8133.1389,38632.3056,1921454.1667
bd171d3c-dfe3-46f2-a814-a9da0092f00c,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2026-05-01,2026,18,0,30499.1667,8006.0590,38505.2257,1890955.0000
c5b5c929-97ad-4a35-b838-398f7d9599cf,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2026-06-01,2026,19,0,30499.1667,7878.9792,38378.1458,1860455.8333
a3832343-2741-466c-9cf1-7b8e29328c37,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2026-07-01,2026,20,0,30499.1667,7751.8993,38251.0660,1829956.6667
87eaa124-11c6-44a0-b48a-e7ddd5f9d72d,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2026-08-01,2026,21,0,30499.1667,7624.8194,38123.9861,1799457.5000
78f67f62-c7c6-4d89-83b0-449abf368fb7,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2026-09-01,2026,22,0,30499.1667,7497.7396,37996.9063,1768958.3333
32ff3bb1-10fc-448e-ac4e-10db3b60995e,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2026-10-01,2026,23,0,30499.1667,7370.6597,37869.8264,1738459.1667
99173d8d-38f0-480d-a1a5-21320a311068,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2026-11-01,2026,24,0,30499.1667,7243.5799,37742.7465,1707960.0000
ef4a48a3-6ea8-4cc9-9f3f-087dfbf71533,73ea74a2-33d2-4586-9bf2-6b52fa2d4c85,2026-12-01,2026,25,0,30499.1667,7116.5000,37615.6667,1677460.8333
cfefac4f-33ce-4987-8d7b-74b62dd3a25d,198dae64-9680-49af-b079-8d34bd1cd16e,2024-12-01,2024,1,0,103329.1667,34443.0833,137772.2500,8163010.8333
2e79a89b-22ac-4d89-a582-2a95f76fd8ca,198dae64-9680-49af-b079-8d34bd1cd16e,2025-01-01,2025,2,0,103329.1667,34012.5451,137341.7118,8059681.6667
82c893a6-1832-4fe3-966e-20d6a63973a2,198dae64-9680-49af-b079-8d34bd1cd16e,2025-02-01,2025,3,0,103329.1667,33582.0069,136911.1736,7956352.5000
7023191f-b4f8-4f71-9ecd-ece89dae59e3,198dae64-9680-49af-b079-8d34bd1cd16e,2025-03-01,2025,4,0,103329.1667,33151.4688,136480.6354,7853023.3333
4afec5b7-8683-49fb-888b-0f6bdcf04174,198dae64-9680-49af-b079-8d34bd1cd16e,2025-04-01,2025,5,0,103329.1667,32720.9306,136050.0972,7749694.1667
