createdat,createdby,modifiedat,modifiedby,codigo,descripcion
2025-07-21 14:19:11.843,anonymous,2025-07-21 14:19:11.843,anonymous,S42,Productivo
2025-07-21 14:19:11.843,anonymous,2025-07-21 14:19:11.843,anonymous,6,Productivo
2025-07-21 14:19:11.843,anonymous,2025-07-21 14:19:11.843,anonymous,7,Operativo
