id,createdat,createdby,modifiedat,modifiedby,sociedadfi_codigo,centrocosto_codigo,plancuenta_codigo,gasto_id,concepto_id,empleado_codigo,indicadorcuenta,cantidad,ejercicio,escenario,bloqueouser,bloqueoadmin
d836da9d-7df1-45a9-937f-e2a2d664e63a,2025-07-23 20:27:14.104,NMATAMOROS,2025-07-25 16:32:53.738,NMATAMOROS,1000,1111200002,7113525004,b49e679c-e5eb-449b-b1d4-7f696e22e009,3e8728b1-ff5a-40b1-9949-6a07d5ca2cd2,12592,GTOTECNOL,1,2025,1,t,t
ad04cfee-eae1-44ae-9b35-d27bb5426172,2025-07-23 20:27:14.104,NMATAMOROS,2025-07-25 16:32:53.738,NMATAMOROS,1000,1111200002,7114005008,d35a055a-c8ca-4141-9ce1-92e7a9798b09,6a59c91e-ab07-4560-a80a-8d7f7643373e,12592,GTOTECNOL,1,2025,1,t,t
688d435d-d2b1-4a7c-ae0a-fc7c4dfadf61,2025-07-23 20:27:14.104,NMATAMOROS,2025-07-25 16:32:53.738,NMATAMOROS,1000,1111200002,7114005008,112d8068-e461-44a9-bf7b-6b80fbc05ca5,7464236b-c98d-491a-9b8e-138e620f0485,11157,GTOTECNOL,1,2025,1,t,t
0fd99790-2f67-4625-a691-f41800f172e9,2025-07-23 20:27:14.104,NMATAMOROS,2025-07-25 16:32:53.738,NMATAMOROS,1000,1111200002,7113525004,54622917-afbf-4ebc-a72f-d1bc9b7de8e8,936e746b-5fa3-4c33-b11e-710624b38b6d,11157,GTOTECNOL,1,2025,1,t,t
3bf339da-5a73-412a-a28f-b40d6dfabcea,2025-07-23 20:27:14.104,NMATAMOROS,2025-07-25 16:32:53.738,NMATAMOROS,1000,1111200002,7114005008,13a122e1-0852-4556-9d26-0f75ad05f6c5,4dc54c4d-4337-4c90-b0ee-8fb1c355d2d6,11157,GTOTECNOL,1,2025,1,t,t
68e94a37-fdad-462d-8183-ace9ff44f7fe,2025-07-23 20:27:14.104,NMATAMOROS,2025-07-25 16:32:53.738,NMATAMOROS,1000,1111200002,7114005008,3f079c59-5b0f-44f6-a3ed-1fe5b07ce5ca,fd572636-f959-4350-84e7-22f304531a46,11157,GTOTECNOL,1,2025,1,t,t
858d49d3-0fdd-4e61-a9ae-dc8f7fef8037,2025-07-23 20:27:14.104,NMATAMOROS,2025-07-25 16:32:53.738,NMATAMOROS,1000,1111200002,7114005008,5fea0ba1-bd83-4122-8563-3ce650ba3c2a,2d3bf64f-8fb7-4631-bdb7-0c96310f2336,11157,GTOTECNOL,1,2025,1,t,t
3932871d-6c7a-4d0b-bdf8-21aee24665b4,2025-07-23 20:27:14.104,NMATAMOROS,2025-07-25 16:32:53.738,NMATAMOROS,1000,1111200002,7114005008,b6f17b51-d95b-49d4-b071-a0dd2ad3aaa7,7f74e5ba-9cad-4376-ab95-09b01be91da4,11157,GTOTECNOL,1,2025,1,t,t
ac7e21de-3913-4824-9699-8a4fcf34b416,2025-07-23 20:27:14.104,NMATAMOROS,2025-07-25 16:32:53.738,NMATAMOROS,1000,1111200002,7114005008,37076f8a-c344-45b1-8cef-06afd47a3342,2d1e6842-9bc7-44f9-953a-df8de3dd8259,11157,GTOTECNOL,1,2025,1,t,t
11544720-134c-4d09-955c-0e91552e970f,2025-07-23 20:27:14.104,NMATAMOROS,2025-07-25 16:32:53.738,NMATAMOROS,1000,1111200002,7114005008,6998e475-c9be-4521-9588-37b429bc9f9f,2d1e6842-9bc7-44f9-953a-df8de3dd8259,11037,GTOTECNOL,2,2025,1,t,t
1e363655-7b03-40b4-a52f-134d1ced0947,2025-07-23 20:27:14.104,NMATAMOROS,2025-07-25 16:32:53.738,NMATAMOROS,1000,1111200002,7114005008,caa1a1f7-1030-4837-b49a-93680e5af9ef,204ab3a3-0c33-4e9e-872d-e600a16ee008,11037,GTOTECNOL,2,2025,1,t,t
e3e87f4d-7ef6-4db0-8735-90ece6e441dc,2025-07-23 20:27:14.104,NMATAMOROS,2025-07-25 16:32:53.738,NMATAMOROS,1000,1111200002,7114005008,fe350c98-3255-464d-b9fc-d26ae5de59bb,fd572636-f959-4350-84e7-22f304531a46,11037,GTOTECNOL,3,2025,1,t,t
c9f1f2d5-2e21-4d4c-9b09-d1710523e5cb,2025-07-23 20:27:14.104,NMATAMOROS,2025-07-25 16:32:53.738,NMATAMOROS,1000,1111200002,7114005008,861887d1-2487-4e01-b443-775d7400ba85,2d3bf64f-8fb7-4631-bdb7-0c96310f2336,11037,GTOTECNOL,3,2025,1,t,t
428f4334-d114-4518-8cbb-2f18c33a705a,2025-07-23 20:27:14.104,NMATAMOROS,2025-07-25 16:32:53.738,NMATAMOROS,1000,1111100002,7113525004,5a10ca53-3639-4c3d-9892-756663567a30,3e8728b1-ff5a-40b1-9949-6a07d5ca2cd2,10840,GTOTECNOL,1,2025,1,t,t
07b35449-5501-4698-9f4c-e10d1a286542,2025-07-23 20:27:14.104,NMATAMOROS,2025-07-25 16:32:53.738,NMATAMOROS,1000,1111100002,7114005008,90ba7a00-6d57-428a-8de8-4cead395dbbd,4dc54c4d-4337-4c90-b0ee-8fb1c355d2d6,10840,GTOTECNOL,1,2025,1,t,t
a30b7aea-f4eb-4838-b23f-ac979be6c5c7,2025-07-23 20:27:14.104,NMATAMOROS,2025-07-25 16:32:53.738,NMATAMOROS,1000,1111100002,7114005008,c9a2591c-3084-4a21-ae97-ae4d4d42d2e8,fd572636-f959-4350-84e7-22f304531a46,10840,GTOTECNOL,1,2025,1,t,t
aa6a99b3-3455-42aa-bb6d-5ed93684ec80,2025-07-23 20:27:14.104,NMATAMOROS,2025-07-25 16:32:53.738,NMATAMOROS,1000,1111100002,7114005008,d97f4be7-7c3f-4631-9533-163be04499e2,2d3bf64f-8fb7-4631-bdb7-0c96310f2336,10840,GTOTECNOL,1,2025,1,t,t
eab4ab17-ffe5-4c17-8643-bccf81ce5950,2025-07-23 20:27:14.104,NMATAMOROS,2025-07-25 16:32:53.738,NMATAMOROS,1000,1111100002,7114005008,d3e049d6-e14e-4427-9cc5-a9cd855415d8,7f74e5ba-9cad-4376-ab95-09b01be91da4,10840,GTOTECNOL,1,2025,1,t,t
af7e5b69-d41a-4d46-a280-6fce37387fb2,2025-07-23 20:27:14.104,NMATAMOROS,2025-07-25 16:32:53.738,NMATAMOROS,1000,1111100002,7114005008,2f1a283c-aa56-46c3-bd45-1835de4ec6c4,2d1e6842-9bc7-44f9-953a-df8de3dd8259,10840,GTOTECNOL,1,2025,1,t,t
46ea34f7-3300-4602-8408-0672feea58ec,2025-07-23 20:27:14.104,NMATAMOROS,2025-07-25 16:32:53.738,NMATAMOROS,1000,1111100002,7113525004,94e74adc-8c7e-4fa5-a252-cca27f8d86c5,03b1268d-cd02-415f-978d-92729ffa0ef9,10840,GTOTECNOL,1,2025,1,t,t
96d2e72a-68f2-4078-8afc-469a705c1e79,2025-07-23 20:27:14.104,NMATAMOROS,2025-07-25 16:32:53.738,NMATAMOROS,1000,1111100002,7113525004,3b1af61e-1ec3-4b80-8c36-d8abb2680203,3e8728b1-ff5a-40b1-9949-6a07d5ca2cd2,11460,GTOTECNOL,1,2025,1,t,t
b96d420e-2204-4115-bd27-1e15c1a98a23,2025-07-23 20:27:14.104,NMATAMOROS,2025-07-25 16:32:53.738,NMATAMOROS,1000,1111100002,7114005008,6a20a488-9468-47cb-8a3b-3898f2269a4a,6a59c91e-ab07-4560-a80a-8d7f7643373e,11460,GTOTECNOL,1,2025,1,t,t
