material_codigo,centrologistico_codigo,ejercicio,escenario,alta01,alta02,alta03,alta04,alta05,alta06,alta07,alta08,alta09,alta10,alta11,alta12
18000063,2020,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30000002,1000,2025,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12000043,2120,2025,1,5.9838,3.6893,2.9523,2.4692,1.7805,1.4938,1.2268,1.0618,0.9010,0.8358,0.7837,0.8349
18000035,2020,2025,1,0.0000,489.6574,0.0000,0.0000,0.0000,0.0000,487.7073,0.0000,0.0000,0.0000,0.0000,486.4507
18000005,2020,2025,1,0.2000,0.2000,0.1625,0.1686,0.0000,0.0186,0.0655,0.0180,0.0180,0.0000,0.0129,0.0494
18000320,2020,2025,1,0.0000,1626.2731,1627.0153,0.0000,1612.6446,0.0000,1603.4756,1598.7738,0.0000,1589.2980,1585.1395,0.0000
18000320,2020,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1636.3600
18000074,2020,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,687.2000
18000044,2020,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18000303,2020,2025,1,1.4300,1.0515,0.8279,0.7563,0.6252,0.5462,0.4744,0.3956,0.3393,0.2970,0.2779,0.2580
18000070,2020,2025,1,411.5500,0.0000,411.6735,0.0000,411.7972,0.0000,411.9208,0.0000,0.0000,0.0000,0.0000,412.0446
18000110,2020,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18000005,2020,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000
18000035,2020,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,490.0000
18000044,2020,2025,1,1.2600,0.5780,1.0244,0.3750,0.0000,0.2775,0.2316,0.0000,0.1717,0.0000,0.1479,0.2675
12000030,2020,2025,1,6.4010,5.8060,6.2902,0.0000,5.6606,5.3880,0.0000,4.1933,1.9462,1.8506,0.0000,0.4740
18000047,2020,2025,1,0.1000,0.0632,0.0449,0.0034,0.0028,0.0023,0.0019,0.0017,0.0015,0.0013,0.0012,0.0107
18000074,2020,2025,1,0.0000,687.2000,0.0000,687.3348,687.4696,0.0000,687.6046,0.0000,0.0000,0.0000,0.0000,687.7395
18000063,2020,2025,1,0.0314,0.0743,0.0508,0.0118,0.0094,0.0081,0.0242,0.0000,0.0053,0.0047,0.0000,0.0140
18000070,2020,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,411.5500
