createdat,createdby,modifiedat,modifiedby,listamateriales,fechainiciovalidez,mensaje,fechafinvalidez,producto_codigo,centrologistico_codigo,numerolista,cantidadbase,nodo,contador,componente_codigo,numeroposicion,cantidad,unidadmedidacomp,relevantefabricacion,relevantecalcosto,utilizacion,alternativalista,historico
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000000,1000,00000056,5000.000,00000014,00000028,10000021,0140,3.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000000,1000,00000056,5000.000,00000015,00000030,10000014,0150,0.300,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000000,1000,00000056,5000.000,00000016,00000032,10000004,0160,50.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000000,1000,00000056,5000.000,00000017,00000034,10000034,0170,25.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000000,1000,00000056,5000.000,00000019,00000038,10000009,0200,25.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000000,1000,00000056,5000.000,00000001,00000002,10000013,0010,14.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20190627,"",00000000,12000000,1000,00000056,5000.000,00000029,00000058,10000053,0270,0.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20190627,"",00000000,12000000,1000,00000056,5000.000,00000030,00000060,10000038,0280,125.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20231122,"",00000000,12000000,1000,00000056,5000.000,00000043,00000086,10000320,0420,1.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20231122,"",00000000,12000000,1000,00000056,5000.000,00000044,00000088,10000010,0430,7.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20231122,"",00000000,12000000,1000,00000056,5000.000,00000045,00000090,10000297,0440,6.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20231122,"",00000000,12000000,1000,00000056,5000.000,00000046,00000092,10000018,0450,14.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20240207,"",00000000,12000000,1000,00000056,5000.000,00000047,00000094,10000200,0460,1.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20191227,"",00000000,12000000,1000,00000056,5000.000,00000031,00000062,10000057,0290,9.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20191227,"",00000000,12000000,1000,00000056,5000.000,00000032,00000064,10000180,0300,6.250,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20201027,"",00000000,12000000,1000,00000056,5000.000,00000034,00000068,10000310,0320,175.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20201027,"",00000000,12000000,1000,00000056,5000.000,00000035,00000070,10000210,0330,9.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20240417,"",00000000,12000000,1000,00000056,5000.000,00000049,00000098,10000298,0480,2.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20220929,"",00000000,12000000,1000,00000056,5000.000,00000038,00000076,10000261,0370,4.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20220929,"",00000000,12000000,1000,00000056,5000.000,00000039,00000078,10000290,0380,6.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20220929,"",00000000,12000000,1000,00000056,5000.000,00000041,00000082,10000291,0400,2.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20200123,"",00000000,12000002,1000,00000058,5000.000,00000029,00000058,10000038,0280,125.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000002,1000,00000058,5000.000,00000001,00000002,10000001,0010,2631.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000002,1000,00000058,5000.000,00000002,00000004,10000292,0020,7.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000002,1000,00000058,5000.000,00000003,00000006,10000006,0030,20.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000002,1000,00000058,5000.000,00000004,00000008,10000013,0040,13.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000002,1000,00000058,5000.000,00000005,00000010,10000294,0050,7.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000002,1000,00000058,5000.000,00000006,00000012,10000000,0060,1750.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000002,1000,00000058,5000.000,00000007,00000014,10000018,0070,7.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000002,1000,00000058,5000.000,00000008,00000016,10000009,0080,147.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000002,1000,00000058,5000.000,00000009,00000018,10000007,0090,6.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000002,1000,00000058,5000.000,00000010,00000020,10000023,0100,1.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000002,1000,00000058,5000.000,00000011,00000022,10000042,0110,4.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000002,1000,00000058,5000.000,00000012,00000024,10000057,0120,9.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000002,1000,00000058,5000.000,00000013,00000026,10000005,0130,12.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000002,1000,00000058,5000.000,00000014,00000028,10000032,0140,2.750,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000002,1000,00000058,5000.000,00000015,00000030,10000008,0150,10.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000002,1000,00000058,5000.000,00000016,00000032,10000014,0160,0.200,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000002,1000,00000058,5000.000,00000018,00000036,10000012,0180,14.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000003,1000,00000059,5000.000,00000001,00000002,10000001,0010,2725.750,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000003,1000,00000059,5000.000,00000002,00000004,10000292,0020,7.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000003,1000,00000059,5000.000,00000003,00000006,10000006,0030,18.500,LB,t,X,1,1,t
