id,createdat,createdby,modifiedat,modifiedby,sociedadfi_codigo,ejercicio,escenario,centrocostoemisor_codigo,centrocostoreceptor_codigo,plancuenta_codigo,tipodistribucion_codigo,factor1,factor2,factor3,factor4,factor5,factor6,factor7,factor8,factor9,factor10,factor11,factor12,bloqueouser,bloqueoadmin
fc944b13-18a5-4f35-bb7b-eb8c9f9836b8,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1123900002,1123205001,S42CFMGRAE,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1293630.2104,f,f
45f1606f-9989-449d-975f-fda12144aabc,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1123900002,1123104001,S42CFMGRAE,AVEDIA,2476962.0000,993600.4114,1997550.8271,1573207.8714,1529570.6645,2409471.8520,1560775.8420,1766947.7320,2070005.4286,1874595.7218,2007902.6329,2069992.8571,f,f
8fb00729-7b7b-4982-b4b5-8add263a1f08,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1123900003,1123309001,S42CFCCAGP,AVEDIA,3520609.9411,4560376.7143,2646842.2335,5302794.0831,4150297.7307,4242234.4160,4742798.1714,4124403.9131,5131324.9484,4195554.9886,4107990.0341,5485208.2849,f,f
98f25bc2-91fb-4f83-ac92-5195e037c9e3,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1123900003,1123101001,S42CFCCAGP,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2002726.0384,f,f
446712ef-1fec-4917-a6e9-2d74cf87ffa0,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1123900003,1123305001,S42CFCCAGP,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f
71ab7f19-cb62-4b5c-8d40-6f29165470bb,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1123900003,1123205001,S42CFCCAGP,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1293630.2104,f,f
2d31062c-acd9-43f3-8dfd-76b6638f52be,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1123900003,1123311001,S42CFCCAGP,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3618301.4400,f,f
5c4068de-2992-463c-b2cf-1a31b7725292,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1123900003,1123312001,S42CFCCAGP,AVEDIA,3048699.5004,5000053.3160,2896034.6069,5379409.7002,3972919.6493,3586261.6467,5551509.4286,4206192.0437,4487467.3500,4996361.7257,4189539.7108,5025964.5572,f,f
4370a3e2-fa1c-4a26-bd03-2a2e2671e2ea,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1123900003,1123101001,S42CFCCAGP,AVEDIA,2002726.0384,3442344.9506,1792060.1945,3086264.4463,3184992.8857,2114455.0153,3830924.0140,2721352.1709,2351805.3234,3830927.7942,2907273.5871,2471564.2126,f,f
92faa9ed-97aa-42ef-a727-a06e9e22f05a,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1123900003,1123301001,S42CFCCAGP,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f
