createdat,createdby,modifiedat,modifiedby,unidadproductiva_codigo,centrocosto_codigo,material_codigo,ejercicio,escenario,operacion,operaciondescripcion,porcentaje,esporcentaje,cantidad01,cantidad02,cantidad03,cantidad04,cantidad05,cantidad06,cantidad07,cantidad08,cantidad09,cantidad10,cantidad11,cantidad12,bloqueouser,bloqueoadmin,historico
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131200001,21000047,2024,1,0010,Corte,0.0000,"",145.1000,113.3800,81.2100,4.9600,114.5700,31.0000,20.9800,46.8900,66.9500,5.2800,0.0000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131300001,21000047,2024,1,0020,Tenderizado,24.0000,%,34.8240,27.2112,19.4904,1.1904,27.4968,7.4400,5.0352,11.2536,16.0680,1.2672,0.0000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131600001,21000047,2024,1,0030,Empaque,0.0000,"",145.1000,113.3800,81.2100,4.9600,114.5700,31.0000,20.9800,46.8900,66.9500,5.2800,0.0000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131700001,21000047,2024,1,0040,Fresco,0.0000,"",145.1000,113.3800,81.2100,4.9600,114.5700,31.0000,20.9800,46.8900,66.9500,5.2800,0.0000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131200001,21000046,2024,1,0010,Corte,0.0000,"",117.8900,42.7700,25.9700,77.8900,37.2000,79.6800,102.2200,72.1100,46.4400,62.1700,31.3300,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131200002,21000046,2024,1,0020,Deshuese,0.0000,"",117.8900,42.7700,25.9700,77.8900,37.2000,79.6800,102.2200,72.1100,46.4400,62.1700,31.3300,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131600001,21000046,2024,1,0030,Empaque,0.0000,"",117.8900,42.7700,25.9700,77.8900,37.2000,79.6800,102.2200,72.1100,46.4400,62.1700,31.3300,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131700001,21000046,2024,1,0040,Fresco,0.0000,"",117.8900,42.7700,25.9700,77.8900,37.2000,79.6800,102.2200,72.1100,46.4400,62.1700,31.3300,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131200001,21000045,2024,1,0010,Corte,0.0000,"",10.0400,10.4200,20.7800,20.6400,15.3000,10.4600,10.7200,9.8800,0.0000,0.0000,0.0000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131200002,21000045,2024,1,0020,Deshuese,0.0000,"",10.0400,10.4200,20.7800,20.6400,15.3000,10.4600,10.7200,9.8800,0.0000,0.0000,0.0000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131300001,21000045,2024,1,0030,Tenderizado,14.0000,%,1.4056,1.4588,2.9092,2.8896,2.1420,1.4644,1.5008,1.3832,0.0000,0.0000,0.0000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131600001,21000045,2024,1,0040,Empaque,0.0000,"",10.0400,10.4200,20.7800,20.6400,15.3000,10.4600,10.7200,9.8800,0.0000,0.0000,0.0000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131700001,21000045,2024,1,0050,Fresco,0.0000,"",10.0400,10.4200,20.7800,20.6400,15.3000,10.4600,10.7200,9.8800,0.0000,0.0000,0.0000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131200001,21000044,2024,1,0010,Corte,0.0000,"",7881.1900,7205.6300,6821.1800,7445.0200,7291.3500,7234.5500,8288.2200,7930.3500,7364.7300,7797.9700,7968.6200,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131300001,21000044,2024,1,0020,Tenderizado,21.0000,%,1655.0499,1513.1823,1432.4478,1563.4542,1531.1835,1519.2555,1740.5262,1665.3735,1546.5933,1637.5737,1673.4102,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131600001,21000044,2024,1,0030,Empaque,0.0000,"",7881.1900,7205.6300,6821.1800,7445.0200,7291.3500,7234.5500,8288.2200,7930.3500,7364.7300,7797.9700,7968.6200,0.0000,f,f,t
